| People | Saint Barthelemy |
| --- | --- |
| Population: | 7,406 (July 2010 est.) |
| Age structure: | 0-14 years: 19.2% (male 734/female 696) |
| Age structure: | 15-64 years: 70.6% (male 2,855/female 2,402) |
| Age structure: | 65 years and over: 10.2% (male 378/female 383) (2010 est.) |
| Median age: | total: 39.8 years |
| Median age: | male: 39.9 years |
| Median age: | female: 39.6 years (2010 est.) |
| Sex ratio: | at birth: 1.053 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1.19 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 1.14 male(s)/female (2010 est.) |
| Ethnic groups: | white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Religions: | Roman Catholic, Protestant, Jehovah's Witness |
| Languages: | French (primary), English |
