| People and Society | Saint Barthelemy |
| --- | --- |
| Ethnic groups: | white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Languages: | French (primary), English |
| Religions: | Roman Catholic, Protestant, Jehovah's Witnesses |
| Population: | 7,332 (July 2012 est.) |
| Age structure: | 0-14 years: 18.5% (male 698/ female 662) |
| Age structure: | 15-64 years: 69% (male 2,743/ female 2,315) |
| Age structure: | 65 years and over: 12.5% (male 457/ female 457) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 41.1 years |
| Median age: | male: 41.2 years |
| Median age: | female: 41 years (2012 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.18 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 1.14 male(s)/female (2011 est.) |
| Education expenditures: | NA |
