| People | Saint Barthelemy |
| --- | --- |
| Population: | 7,448 (July 2009 est.) |
| Age structure: | 0-14 years: 19.2% (male 734/female 696) |
| Age structure: | 15-64 years: 70.6% (male 2,855/female 2,402) |
| Age structure: | 65 years and over: 10.2% (male 378/female 383) (2009 est.) |
| Median age: | total: 39.1 years |
| Median age: | male: 39.3 years |
| Median age: | female: 38.9 years (2009 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 1.19 male(s)/female |
| Sex ratio: | 65 years and over: 0.99 male(s)/female |
| Sex ratio: | total population: 1.14 male(s)/female (2009 est.) |
| Ethnic groups: | white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia) |
| Religions: | Roman Catholic, Protestant, Jehovah's Witness |
| Languages: | French (primary), English |
