| People and Society | CHINA |
| Sex ratio: | 15-24 years: 1.14 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2016 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12 deaths/1,000 live births |
| Infant mortality rate: | male: 12.3 deaths/1,000 live births |
| Infant mortality rate: | female: 11.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.7 years |
| Life expectancy at birth: | male: 73.6 years |
| Life expectancy at birth: | female: 78 years (2017 est.) |
| Total fertility rate: | 1.6 children born/woman (2017 est.) |
| Health expenditures: | 5.5% of GDP (2014) |
| Physicians density: | 1.49 physicians/1,000 population (2011) |
| Hospital bed density: | 3.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 95.5% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 4.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.6% of population |
| Sanitation facility access: | rural: 63.7% of population |
| Sanitation facility access: | total: 76.5% of population |
| unimproved: | urban: 13.4% of population |
| unimproved: | rural: 36.3% of population |
| unimproved: | total: 23.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Japanese encephalitis |
| Major infectious diseases: | soil contact disease: hantaviral hemorrhagic fever with renal syndrome (HFRS) (2016) |
| Obesity - adult prevalence rate: | 6.2% (2016) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 94.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2015) |
| People - note: | in October 2015, the Chinese Government announced that it would change its rules to allow all couples to have two children instead of just one, as mandated in 1979; the new policy was implemented on 1 January 2016 to address China’s rapidly aging population and economic needs |
