| People and Society | CHINA |
| --- | --- |
| Population: | 1,373,541,278 (July 2016 est.) |
| Nationality: | noun: Chinese (singular and plural) |
| Nationality: | adjective: Chinese |
| Ethnic groups: | Han Chinese 91.6%, Zhuang 1.3%, other (includes Hui, Manchu, Uighur, Miao, Yi, Tujia, Tibetan, Mongol, Dong, Buyei, Yao, Bai, Korean, Hani, Li, Kazakh, Dai and other nationalities) 7.1% |
| Ethnic groups: | note: the Chinese Government officially recognizes 56 ethnic groups (2010 est.) |
| Languages: | Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages (see Ethnic groups entry) |
| Languages: | note: Zhuang is official in Guangxi Zhuang, Yue is official in Guangdong, Mongolian is official in Nei Mongol, Uighur is official in Xinjiang Uygur, Kyrgyz is official in Xinjiang Uygur, and Tibetan is official in Xizang (Tibet) |
| Religions: | Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu < 0.1%, Jewish < 0.1%, other 0.7% (includes Daoist (Taoist)), unaffiliated 52.2% |
| Religions: | note: officially atheist (2010 est.) |
| Age structure: | 0-14 years: 17.1% (male 126,732,020/female 108,172,771) |
| Age structure: | 15-24 years: 13.27% (male 97,126,460/female 85,135,228) |
| Age structure: | 25-54 years: 48.42% (male 339,183,101/female 325,836,319) |
| Age structure: | 55-64 years: 10.87% (male 75,376,730/female 73,859,424) |
| Age structure: | 65 years and over: 10.35% (male 67,914,015/female 74,205,210) (2016 est.) |
| Dependency ratios: | total dependency ratio: 36.6% |
| Dependency ratios: | youth dependency ratio: 23.5% |
| Dependency ratios: | elderly dependency ratio: 13% |
| Dependency ratios: | potential support ratio: 7.7% (2015 est.) |
| Median age: | total: 37.1 years |
| Median age: | male: 36.2 years |
| Median age: | female: 38.1 years (2016 est.) |
| Population growth rate: | 0.43% (2016 est.) |
| Birth rate: | 12.4 births/1,000 population (2016 est.) |
| Death rate: | 7.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 55.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Shanghai 23.741 million; BEIJING (capital) 20.384 million; Chongqing 13.332 million; Guangdong 12.458 million; Tianjin 11.21 million; Shenzhen 10.749 million (2015) |
| Sex ratio: | at birth: 1.15 male(s)/female |
| Sex ratio: | 0-14 years: 1.17 male(s)/female |
| Sex ratio: | 15-24 years: 1.14 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2016 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.2 deaths/1,000 live births |
| Infant mortality rate: | male: 12.4 deaths/1,000 live births |
| Infant mortality rate: | female: 12 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.5 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 77.9 years (2016 est.) |
| Total fertility rate: | 1.6 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 84.6% (2006) |
| Health expenditures: | 5.5% of GDP (2014) |
| Physicians density: | 1.49 physicians/1,000 population (2011) |
| Hospital bed density: | 3.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 95.5% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 4.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 86.6% of population |
| Sanitation facility access: | rural: 63.7% of population |
| Sanitation facility access: | total: 76.5% of population |
| unimproved: | urban: 13.4% of population |
| unimproved: | rural: 36.3% of population |
| unimproved: | total: 23.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 780,000 (2012 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Japanese encephalitis |
| Major infectious diseases: | soil contact disease: hantaviral hemorrhagic fever with renal syndrome (HFRS) (2016) |
| Obesity - adult prevalence rate: | 7.3% (2014) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.2% |
| Literacy: | female: 94.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2014) |
| People - note: | in October 2015, the Chinese Government announced that it would change its rules to allow all couples to have two children instead of just one, as mandated in 1979; the new policy was implemented on 1 January 2016 to address China’s rapidly aging population and economic needs |
